Age,Area,CreditAvlb,Firsthand,FloorCount,FloorNumber,Frontage,Fuel,Furniture,MaintenanceFee,Price,Room,Town,Heating_num
3,195,2,1,16,15.0,1,3,0,0,525000,5,8,7
0,90,2,2,5,2.0,1,3,0,100,750000,3,9,7
10,140,2,1,3,1.0,0,3,0,50,317500,4,9,5
0,170,2,2,13,5.0,1,3,0,0,440000,5,1,5
25,120,2,1,4,0.5,1,3,1,350,285000,3,9,6
4,190,2,1,3,3.0,1,3,0,50,415000,5,6,5
18,167,2,1,4,1.0,1,3,0,30,288000,5,9,5
0,192,2,2,17,2.0,1,3,0,0,430000,5,2,7
4,149,2,1,25,4.0,0,3,0,0,774000,4,9,5
0,145,2,2,4,2.0,0,3,0,60,610000,4,8,5
40,100,2,1,3,3.0,1,3,0,40,190000,4,9,5
8,95,2,1,3,1.0,1,3,0,25,177000,3,7,5
4,130,0,1,3,3.0,1,3,0,30,299000,4,6,5
3,115,2,2,4,1.0,1,3,0,50,176000,4,3,5
3,138,2,1,4,0.0,0,3,0,20,225000,4,7,5
15,105,2,1,6,2.0,0,3,0,20,90000,4,3,5
25,120,2,1,2,1.0,1,3,0,50,380000,4,9,5
18,120,2,1,9,5.0,1,3,0,280,315000,4,8,6
14,155,2,1,4,1.0,0,3,0,75,429000,4,9,5
2,90,2,1,3,3.0,0,3,0,100,655000,3,9,5
7,200,2,1,15,14.0,0,3,0,90,560000,6,7,5
3,130,2,1,3,0.0,1,3,0,50,139000,4,6,5
0,164,2,2,3,0.5,0,3,0,50,400000,5,9,5
4,105,2,1,3,2.0,1,3,0,0,245000,3,3,5
4,250,2,1,13,0.25,1,3,0,762,1890000,5,9,7
29,160,2,1,3,2.0,1,3,0,100,750000,5,9,5
30,130,2,1,8,6.0,0,3,0,25,250000,4,8,5
10,130,2,1,4,1.0,1,3,0,30,365000,4,9,5
35,116,2,1,3,0.5,1,3,0,50,495000,4,9,5
0,190,2,2,13,4.0,1,3,0,150,590000,5,4,7
20,320,2,1,3,3.0,1,3,0,0,519000,7,9,5
5,300,2,1,9,9.0,1,3,0,100,535000,7,3,5
0,195,2,1,16,14.0,1,3,0,0,650000,5,5,5
23,130,2,1,3,1.0,1,3,0,30,415000,4,9,5
0,300,2,2,3,3.0,1,3,0,50,680000,7,9,5
4,125,2,1,4,4.0,0,3,0,0,349000,4,5,7
0,222,0,1,35,21.0,1,3,0,0,660000,5,9,7
16,245,2,1,2,2.0,1,3,0,50,535000,5,9,5
10,300,2,1,3,3.0,1,3,0,50,475000,6,9,5
12,105,2,1,4,1.0,1,3,0,70,218500,3,9,5
10,170,2,1,4,1.0,0,3,0,50,650000,5,9,5
0,250,2,2,10,10.0,1,3,0,0,470000,7,2,7
16,170,2,1,5,1.0,0,3,0,150,825000,5,9,5
7,118,2,1,11,11.0,1,3,0,130,166000,4,7,7
19,130,2,1,3,3.0,0,3,0,30,380000,4,8,5
18,78,2,1,4,4.0,0,3,0,0,260000,3,7,6
7,170,2,1,11,8.0,1,3,0,110,425000,4,6,6
0,220,2,2,26,17.0,1,3,0,0,950000,5,9,7
3,300,2,2,8,8.0,1,3,0,0,950000,7,7,5
0,200,2,2,4,3.0,0,3,0,0,380000,5,1,5
0,240,2,2,15,1.0,1,3,0,0,670000,5,8,7
40,180,2,1,5,4.0,0,3,0,425,825000,5,9,6
12,130,2,1,4,1.0,1,3,0,100,275000,4,9,5
3,165,2,1,40,0.0,1,3,0,280,870000,4,8,7
0,75,2,2,3,3.0,1,3,0,0,370000,3,9,5
15,120,2,1,5,5.0,1,3,0,0,297000,4,6,5
30,130,2,1,6,1.0,0,3,0,25,255000,4,8,5
20,130,2,1,3,3.0,1,3,0,40,389000,4,9,5
23,130,2,1,3,1.0,1,3,0,30,298000,4,9,5
13,300,2,1,4,4.0,1,3,0,50,950000,7,9,5
0,160,2,2,11,1.0,1,3,0,0,750000,4,3,5
3,172,2,1,25,17.0,1,3,0,720,1100000,5,10,0
2,150,2,1,5,5.0,1,3,0,0,240000,4,3,5
6,120,2,1,3,3.0,1,3,0,0,280000,4,3,5
10,130,2,1,14,0.0,1,3,0,260,460000,4,7,7
25,120,2,1,5,5.0,1,3,0,70,315000,4,8,5
40,120,2,1,4,4.0,1,3,0,400,450000,4,9,6
4,160,2,1,12,2.0,1,3,0,80,155000,5,6,6
1,230,2,1,26,1.0,1,3,0,480,1250000,5,10,7
8,345,2,1,4,4.0,0,3,0,80,890000,7,9,5
20,175,2,1,17,5.0,1,3,0,765,1325000,5,9,6
26,125,2,2,3,3.0,0,3,0,50,479000,4,9,5
13,220,2,1,4,1.0,1,3,0,50,400000,6,9,5
20,180,2,1,3,3.0,1,3,0,50,475000,5,9,5
15,250,2,1,4,4.0,0,3,0,50,800000,6,9,5
25,135,2,1,3,3.0,1,3,0,35,479000,4,9,5
15,115,2,1,3,1.0,1,3,0,50,265000,4,9,5
8,130,2,1,3,0.5,1,3,0,0,185000,4,5,5
11,120,2,1,3,3.0,1,3,0,25,150000,4,6,5
3,130,2,2,3,0.0,1,3,0,35,155000,4,6,5
0,220,2,1,3,3.0,1,3,0,0,675000,5,8,5
6,450,2,2,8,8.0,1,3,0,200,1350000,6,9,5
15,100,2,1,3,1.0,1,3,0,0,115000,3,6,5
6,169,2,1,12,1.0,1,3,0,100,179000,5,6,6
22,135,2,0,4,0.5,1,3,0,125,435000,4,9,5
5,260,2,1,2,2.0,1,3,0,50,380000,6,9,5
